name,ipv4-address,groups,color,tags
h_109.237.96.124_CVE-2021-44228,109.237.96.124,groupname,red,CVE-2021-44228_Log4J
h_83.96.213.63_CVE-2021-44228,83.96.213.63,groupname,red,CVE-2021-44228_Log4J
h_167.172.69.175_CVE-2021-44228,167.172.69.175,groupname,red,CVE-2021-44228_Log4J
h_159.89.85.91_CVE-2021-44228,159.89.85.91,groupname,red,CVE-2021-44228_Log4J
h_77.103.34.22_CVE-2021-44228,77.103.34.22,groupname,red,CVE-2021-44228_Log4J
h_185.220.101.28_CVE-2021-44228,185.220.101.28,groupname,red,CVE-2021-44228_Log4J
h_159.203.58.73_CVE-2021-44228,159.203.58.73,groupname,red,CVE-2021-44228_Log4J
h_23.82.194.168_CVE-2021-44228,23.82.194.168,groupname,red,CVE-2021-44228_Log4J
h_139.177.178.15_CVE-2021-44228,139.177.178.15,groupname,red,CVE-2021-44228_Log4J
h_185.218.127.47_CVE-2021-44228,185.218.127.47,groupname,red,CVE-2021-44228_Log4J
h_137.184.96.216_CVE-2021-44228,137.184.96.216,groupname,red,CVE-2021-44228_Log4J
h_185.88.103.195_CVE-2021-44228,185.88.103.195,groupname,red,CVE-2021-44228_Log4J
h_137.184.107.109_CVE-2021-44228,137.184.107.109,groupname,red,CVE-2021-44228_Log4J
h_83.149.110.185_CVE-2021-44228,83.149.110.185,groupname,red,CVE-2021-44228_Log4J
h_68.183.41.150_CVE-2021-44228,68.183.41.150,groupname,red,CVE-2021-44228_Log4J
h_140.83.85.168_CVE-2021-44228,140.83.85.168,groupname,red,CVE-2021-44228_Log4J
h_45.64.75.134_CVE-2021-44228,45.64.75.134,groupname,red,CVE-2021-44228_Log4J
h_206.189.20.141_CVE-2021-44228,206.189.20.141,groupname,red,CVE-2021-44228_Log4J
